Title,Date,Age,Interests,Tags,Gender,Country,Entities,Emotions,Names,"Potential Visitors"
"Illegal migrants plotted brazen &#8216;robbery spree&#8217; before shooting off-duty CBP agent in NYC park: DA","Aug 06, 2025 10:57 PM",25-34,"News, Law & Government, People & Society, Crime, Health & Fitness","Crime, Immigration, Law Enforcement, Shooting",Male,us,"Customs and Border Protection, New York City, Fort Washington Park",Anger,"Miguel Francisco Mora Nunez, Christhian Aybar-Berroa, Alvin Bragg, Eric Adams, Ricky J. Patel",116
"Pennsylvania corrections officer accused of having sex with inmates","Aug 07, 2025 01:56 AM",25-34,"News, Law & Government, People & Society, Crime, Health & Fitness","Crime, Law, Investigation, Corrections",Female,us,"Pennsylvania, corrections officer, identity theft",Anger,"Kristina Miller, Dave Sunday, Madeline Bartos",117
"Hennepin County Attorney Mary Moriarty won't run for reelection","Aug 07, 2025 01:48 AM",25-34,"Law & Government, News, People & Society, Business & Industrial, Health & Fitness","Politics, Law, Criminal Justice, Hennepin County",Female,us,"Hennepin County Attorney's Office, Conviction Integrity Unit, racial discrimination investigation",Anticipation,"Mary Moriarty, Tim Walz, Keith Ellison, Marvin Haynes, Edgar Barrientos-Quintana",117
"Man arrested after firing shotgun multiple times inside Huntington Beach condo complex","Aug 07, 2025 05:39 AM",25-34,"News, Health & Fitness, People & Society, Law & Government, Sports","Crime, Arrest, Shooting, Huntington Beach",Male,us,"Huntington Beach, Police Department, Shotgun",Fear,"Dean Fioresi",119
"$10K reward offered in South Holland that killed 16-year-old boy","Aug 06, 2025 08:55 PM",18-24,"News, People & Society, Health & Fitness, Sports, Lifestyle & Hobbies","Crime, Tragedy, Community, Memorial",Female,us,"Davell Holden, South Holland, Thornwood High School",Sadness,"Angela Birts, Kay'Shaun Thomas, Shardaa Gray",122
"Mom of distressed girl who was told to &#8216;shut the f&#8211;k&#8217; up by LI fire chief breaks silence over viral video: &#8216;He failed her&#8217;","Aug 07, 2025 06:58 AM",25-34,"News, People & Society, Health & Fitness, Law & Government, Arts & Entertainment","Viral Video, Child Welfare, Emergency Services, Public Outrage",Female,us,"North Babylon Volunteer Fire Company, Emergency Services, Mental Health",Anger,"Peter Alt, Newsday, Suffolk County Police Department",123
"Man stabbed in neck during robbery in Pompano Beach, BSO says","Aug 07, 2025 01:41 AM",25-34,"News, People & Society, Health & Fitness, Law & Government, Crime","Crime, Robbery, Investigation, Community",Male,us,"Pompano Beach, Broward Sheriff's Office, Ron-Christopher Gonzales",Fear,"Ron-Christopher Gonzales, Ted Scouten, Andrew Onfroy",123
"Son fatally stabs dad — victim stumbles out of NYC building then collapses on sidewalk: cops","Aug 06, 2025 10:57 PM",25-34,"News, People & Society, Law & Government, Health & Fitness, Crime","Crime, Homicide, Law, Family",Male,us,"Harlem, NYCHA, Manhattan District Attorney",Shock,"Lamont Oliphant",124
"Man dies after being shot by police officers along Murray Avenue in Greenfield","Aug 07, 2025 06:02 AM",25-34,"News, Law & Government, People & Society, Health & Fitness, Sports","Police Shooting, Investigation, Pittsburgh, Domestic Disturbance",Male,us,"Pittsburgh Police, Allegheny County Police, Murray Avenue",Fear,"Mike Darnay",126
"Pedestrian killed, driver hospitalized in collision in Sacramento's North Natomas","Aug 07, 2025 02:05 AM",25-34,"News, People & Society, Health & Fitness, Law & Government, Sports","Accident, Sacramento, Investigation, Pedestrian",Male,us,"Sacramento, Police Department, Del Paso Road",Sadness,"Richard Ramos",126
"Fort Stewart shooting suspect in custody, 5 soldiers wounded, officials say","Aug 06, 2025 11:30 PM",25-34,"News, Health & Fitness, People & Society, Law & Government, Sports","Shooting, Military, Fort Stewart, Investigation",Male,us,"Fort Stewart, Army, Shooting, Investigation",Fear,"Quornelius Radford, John Lubas, Pete Hegseth, Brian Kemp",127
"Accused killer in Ashley Elkins case appear in court","Aug 07, 2025 05:34 AM",25-34,"News, Law & Government, People & Society, Crime, Health & Fitness","Crime, Court, Trial, Ashley Elkins",Male,us,"Court, Trial, Ashley Elkins",Anticipation,"Ashley Elkins",128
"Police investigation underway at GameStop in on Chicago's Northwest Side","Aug 07, 2025 12:59 PM",25-34,"News, Business & Industrial, Health & Fitness, Sports, Arts & Entertainment","Crime, Investigation, Breaking News",Male,us,"GameStop, Chicago, Police",Anticipation,Elyssa,131
"Two men shot overnight in North Braddock","Aug 07, 2025 10:03 AM",25-34,"News, Health & Fitness, People & Society, Law & Government, Sports","Shooting, Crime, Investigation, Allegheny County",Male,us,"North Braddock, Allegheny County Police, Turtle Creek",Fear,"Mike Darnay",131
"American man arrested, accused of attempting to enter Canada illegally","Aug 07, 2025 05:34 AM",25-34,"News, Law & Government, People & Society, Business & Industrial, Travel","Crime, Immigration",Male,us,"Canada, Immigration, Arrest",Fear,"John Doe",132
"US Attorney Jeanine Pirro backs Trump’s DC takeover threat and demand for lower prosecution age limit","Aug 07, 2025 02:57 AM",35-44,"News, Law & Government, People & Society, Politics, Business & Industrial","Politics, Crime, Law Enforcement, Trump",Female,us,"Jeanine Pirro, Trump, Washington DC, youth crime",Anger,"Jeanine Pirro, Donald Trump, Laura Ingraham",134
"No working smoke detectors found in Michigan mobile home after deadly fire, authorities say","Aug 06, 2025 09:32 PM",35-44,"News, Health & Fitness, People & Society, Law & Government, Home & Garden","Fire Safety, Tragedy, Investigation, Mobile Home",Male,us,"Michigan, Fire Department, Smoke Detectors",Sadness,"Authorities, Firefighters",134
"Former Gateway Church elders seek removal from defamation suit","Aug 07, 2025 03:31 AM",35-44,"Arts & Entertainment, Business & Industrial, Health & Fitness, News, People & Society","Defamation, Church, Lawsuit, Sexual Abuse",Male,us,"Gateway Church, Robert Morris, defamation suit",Anticipation,"Gayland Lawshe, Jeremy Carasco, Thomas Miller, Cindy Clemishire",135
"Psychologist warns of withdrawal effects of cellphone ban in Texas schools","Aug 07, 2025 03:31 AM",25-34,"Health & Fitness, News, People & Society, Education, Technology","Technology, Education, Parenting, Mental Health",Female,us,"Texas schools, nomophobia, classroom distractions, mental health",Anticipation,"Carly Decker, Stephanie Paresky, Josh Briley",139
"Rachel Morin's mother reflects 2 years after daughter was found murdered off Maryland trail","Aug 06, 2025 11:25 PM",35-44,"Arts & Entertainment, News, People & Society, Law & Government, Health & Fitness","Crime, Justice, Murder, Community",Female,us,"Rachel Morin, Harford County, Maryland",Sadness,"Patty Morin, Victor Martinez-Hernandez, Alison Healey",141
"Videos show immigration operation near Los Angeles Home Depot","Aug 06, 2025 09:37 PM",25-34,"News, Law & Government, People & Society, Business & Industrial, Health & Fitness","Immigration, Law Enforcement, Court Order, Los Angeles",Female,us,"U.S. Department of Homeland Security, Border Patrol, Home Depot",Anger,"Bill Essayli, Karen Bass, Chelsea Hylton",142
"Michigan man wanted in kidnapping of daughter taken into custody","Aug 07, 2025 01:36 PM",25-34,"News, People & Society, Law & Government, Crime, Health & Fitness","Kidnapping, Law Enforcement, Michigan, Crime",Male,us,"Kidnapping, Law Enforcement, Michigan",Fear,"Michigan Man",148
"Suspected drunk driver kills pedestrian, then tells cops it was &#8216;just a homeless person&#8217;: police","Aug 07, 2025 02:59 PM",25-34,"News, People & Society, Law & Government, Health & Fitness, Sports","Crime, DUI, Homicide, Accident",Female,us,"DUI, Homicide, Miami, Police",Anger,"Ivana Gomez, Kathryn Kipnis, Laura Adams",150
"Wheat Ridge police uses AI to assist with reports","Aug 07, 2025 01:16 AM",25-34,"Business & Industrial, Law & Government, Technology, News, Health & Fitness","AI, Law Enforcement, Technology, Police Reports",Male,us,"Wheat Ridge Police Department, AI Technology, Axon",Anticipation,"Jamie Watson, Alex Rose, Anaya Robertson",150
"Worcester store manager helps police arrest armed robbery suspect","Aug 07, 2025 12:53 AM",25-34,"News, People & Society, Law & Government, Health & Fitness, Hobbies & Leisure","Crime, Arrest, Community, Hero",Male,us,"Worcester, Price Chopper, Boston Liquor store",Trust,"Mohamed Abdel-Mawla, Liam Chagnon, Beth Germano",150
"Miss United States accuses Fla. GOP congressman of threatening to publish her nude pics, sex videos","Aug 06, 2025 10:57 PM",25-34,"Arts & Entertainment, Business & Industrial, Health & Fitness, News, People & Society","NSFW, Celebrity, Scandal",Female,us,"Miss United States, sextortion, Florida Department of Law Enforcement",Anger,"Lindsey Langston, Cory Mills, Anthony Sabatini, Sarah Raviani",152
"Five killed after cable on suspension bridge snaps in China","Aug 07, 2025 10:10 AM",25-34,"News, People & Society, Health & Fitness, Travel, Science","Accident, Investigation, Bridge Collapse",Male,cn,"Xinjiang, Suspension Bridge, Ili Kazakh Autonomous Prefecture",Sadness,"Xinhua, Reuters",157
"Neighbors of vet killed by NJ trooper ex-boyfriend heard chilling screams, gunshots: &#8216;Sounded like she was running&#8217;","Aug 06, 2025 10:57 PM",25-34,"News, People & Society, Law & Government, Health & Fitness, Arts & Entertainment","Crime, Investigation, Murder, Domestic Violence",Female,us,"New Jersey State Police, Franklin Township, Hunterdon County Prosecutor’s Office",Fear,"Dr. Lauren Semanchik, Tyler Webb, Ricardo Jorge Santos",158
"Baltimore County Police gets community input for drone response program","Aug 07, 2025 03:25 AM",25-34,"News, Law & Government, People & Society, Technology, Health & Fitness","Drone Program, Community Engagement, Police Technology, Emergency Response",Male,us,"Baltimore County Police, Drone as a First Responder program, Anne Arundel County Police Department",Anticipation,"Maj. Wes Fischer, Olivia Lomax, Paul Stifflar, Marc Limansky, Kaicey Baylor",159
"Boyfriend arrested nearly 30 years after cold case murder of Maryland cop","Aug 06, 2025 10:57 PM",35-44,"Arts & Entertainment, Business & Industrial, Health & Fitness, News, People & Society","Crime, Law, Justice, Cold Case",Female,us,"Officer Denna Campbell, Amir Jalil Ali, Montgomery County Police",Happiness,"Denna Campbell, Amir Jalil Ali, John McCarthy, Marc Yamada, Paula Hamill, Andre Wright",161
"Man charged with killing top Minnesota House Dem and her husband expected to plead not guilty","Aug 07, 2025 02:59 PM",25-34,"News, Law & Government, People & Society, Crime, Politics","Crime, Politics, Investigation, Murder",Male,us,"Vance Boelter, Minnesota House, FBI, U.S. Magistrate Judge Dulce Foster",Fear,"Melissa Hortman, Mark Hortman, John Hoffman, Yvette Hoffman",163
"Undercover BCA sting leads to 10 arrests for underage prostitution","Aug 07, 2025 01:50 PM",25-34,"News, Law & Government, People & Society, Health & Fitness, Arts & Entertainment","Crime, Human Trafficking, Law Enforcement, Minnesota",Male,us,"Minnesota Bureau of Criminal Apprehension, Ramsey County Jail, National Human Trafficking Hotline",Anger,"Drew Evans",163
"One killed, one injured in Coconut Grove shooting, Miami police say","Aug 07, 2025 05:41 AM",25-34,"News, People & Society, Law & Government, Health & Fitness, Sports","Shooting, Crime, Miami, Investigation",Male,us,"Coconut Grove, Miami, Police",Fear,"Mauricio Maldonado",163
"As Texas pushes plan to add 5 new GOP House seats, other states may follow","Aug 07, 2025 11:33 AM",25-34,"News, Politics, Business & Industrial, Law & Government, People & Society","Redistricting, GOP, Elections, Voting Rights",Male,us,"Texas, Redistricting, Voting Rights Act, California",Anticipation,"Donald Trump, Greg Abbott, Gavin Newsom, Kathy Hochul",165
"Video shows Hollywood police SUV burning in Miami-Dade","Aug 07, 2025 01:43 PM",25-34,"News, Business & Industrial, People & Society, Law & Government, Health & Fitness","Fire Incident, Police, Investigation, Emergency Response",Male,us,"Hollywood Police, Miami-Dade Fire Rescue, 911 dispatch",Anticipation,"Sergio Candido",169
"2 South Carolina deputies shot in training exercise after not testing to see if rounds were blanks","Aug 06, 2025 10:57 PM",25-34,"News, Law & Government, Health & Fitness, People & Society, Business & Industrial","Law Enforcement, Training Incident, Safety, Emergency Response",Male,us,"Greenville County Sheriff’s Office, SWAT team, training exercise",Fear,"Hobart Lewis",174
"Entire family &#8212; including kids ages 2, 5 and 12 &#8212; killed in fiery collision with wrong-way driver on highway","Aug 07, 2025 06:58 AM",25-34,"News, People & Society, Health & Fitness, Sports, Hobbies & Leisure","Tragedy, Family, Accident, Colorado",Female,us,"Car Accident, Family Tragedy, Colorado, Wrong-Way Driver",Sadness,"Andres Cabral-Banuelos, Manuel Cabral-Banuelos, Maria Cabral-Banuelos, Andrea Banuelos-Salazar, Manuel Cabral-Torres",176
"Texas legislative standoff stretches into fourth day","Aug 07, 2025 03:34 PM",25-34,"News, Politics, People & Society, Law & Government, Business & Industrial","Texas, Legislation, Democrats, Redistricting",Male,us,"Texas House, Voting Rights Act, Political Action Committee",Anticipation,"Greg Abbott, Beto O'Rourke, Dick Durbin, Ken Paxton, John Cornyn",181
"Possible human skeleton found next to Jackie Robinson Highway right near major NYC cemetery","Aug 06, 2025 10:57 PM",25-34,"News, Health & Fitness, People & Society, Arts & Entertainment, Crime","Crime, Investigation, Jackie Robinson, NYC",Male,us,"Jackie Robinson Highway, Cypress Hill Cemetery, NYPD",Fear,"Jackie Robinson",185
"Texas AG launches probe into Beto O’Rourke’s political group over funding for Democrats who fled state  ","Aug 07, 2025 06:58 AM",25-34,"News, Politics, Business & Industrial, People & Society, Law & Government","Investigation, Politics, Beto O'Rourke, Texas",Male,us,"Texas AG, Powered by People, Texas House Democrats",Anticipation,"Ken Paxton, Beto O'Rourke",187
"Pair of men disguised as women rob Park Ridge 7-Eleven, police say","Aug 07, 2025 12:56 AM",25-34,"News, People & Society, Crime, Health & Fitness, Business & Industrial","Crime, Robbery, Park Ridge, Mace",Male,us,"Park Ridge, 7-Eleven, Police Department",Fear,"Sara Tenenbaum",187
"Texas AG probes Beto O'Rourke's PAC over Democrats' walkout","Aug 06, 2025 11:30 PM",25-34,"News, Law & Government, Politics, Business & Industrial, People & Society","Politics, Investigation, Texas, Beto O'Rourke",Male,us,"Texas Attorney General, Powered by People, Texas House Democrats",Anticipation,"Ken Paxton, Beto O'Rourke, Dustin Burrows",187
"Virginia high school staff arranged students&#8217; abortions without parental consent: report","Aug 07, 2025 06:58 AM",25-34,"Health & Fitness, News, Law & Government, People & Society, Education","Abortion, Parental Consent, Investigation, Student Welfare",Female,us,"Virginia, Abortion, Fairfax County Public Schools",Anger,"Fairfax County Public Schools, Centreville High School",191
"All victims in Traverse City Walmart stabbing attack released from local hospital","Aug 06, 2025 09:32 PM",25-34,"News, Health & Fitness, People & Society, Law & Government, Sports","Crime, Local News",Male,us,"Walmart, Traverse City, Stabbing Attack",Happiness,"Traverse City Police, Walmart Management",191
"Ford SUV stolen with child still inside","Aug 07, 2025 01:36 PM",25-34,"News, People & Society, Autos & Vehicles, Health & Fitness, Crime","Crime, Child Safety, Stolen Vehicle",Female,us,"Ford SUV, Child, Theft",Fear,"Ford, Child",193
"Body of missing father found perfectly intact inside glacier 28 years after he disappeared","Aug 07, 2025 02:09 AM",35-44,"News, People & Society, Health & Fitness, Science, Travel","Human Interest, Mystery, Discovery, Family",Male,pk,"glacier, Kohistan region, family feud",Surprise,"Naseeruddin, Kaseeruddin, Omar Khan",193
"Loveland police investigating possible illegal casino","Aug 06, 2025 09:15 PM",25-34,"News, Law & Government, People & Society, Business & Industrial, Hobbies & Leisure","Investigation, Illegal Casino, Loveland Police, Northern Colorado",Male,us,"Loveland Police Department, Hargrave Holdings LLC, Larimer County District Attorney's Office",Anticipation,"Dillon Thomas",196
"Injured children from Gaza arrive in Bay Area to get medical treatment","Aug 07, 2025 04:42 AM",25-34,"Health & Fitness, News, People & Society, Travel, Hobbies & Leisure","Human Interest, Medical Treatment, Gaza, Children",Female,us,"HEAL Palestine, Gaza, Bay Area",Empathy,"Dr. Mohammad Subeh, Talha Baqar, Katie Nielsen",197
"Pontiac man killed in hit-and-run crash, deputies searching for suspect","Aug 06, 2025 09:32 PM",25-34,"News, People & Society, Law & Government, Health & Fitness, Autos & Vehicles","Crime, Accident, Investigation",Male,us,"Hit-and-Run, Pontiac, Suspect",Fear,"Deputy, Pontiac Man",199
"Driver sought in fatal hit-and-run near North Miami, MDSO says","Aug 06, 2025 09:40 PM",25-34,"News, People & Society, Law & Government, Health & Fitness, Sports","Hit-and-Run, Miami, Law Enforcement, Pedestrian",Male,us,"Miami-Dade Sheriff's Office, Toyota Tundra, Enrique De Moya",Sadness,"Enrique De Moya, Mauricio Maldonado",200
"Moreno Valley man arrested for murder of two brothers in 2006 cold case","Aug 07, 2025 05:39 AM",25-34,"News, Law & Government, People & Society, Crime, Health & Fitness","Crime, Cold Case, Arrest, Homicide",Male,us,"Moreno Valley, Riverside County, Cold Case Unit",Anticipation,"Richard Ferris, Louie Granado, Glenn Granado",202
"Millionaire Texas rancher fatally gored by buffalo during South Africa hunting trip","Aug 07, 2025 02:09 AM",35-44,"Arts & Entertainment, Business & Industrial, Health & Fitness, News, Sports","Hunting, Tragedy, Wildlife, Safari",Male,us,"Asher Watkins, Cape buffalo, Coenraad and Vermaak Safari",Sadness,"Asher Watkins, Gwen, Amon, Courtney, Savannah",203
"Woman found dead in California clothing donation bin after getting head trapped in receptacle","Aug 06, 2025 10:57 PM",35-44,"News, People & Society, Health & Fitness, Arts & Entertainment, Crime","Crime, Tragedy, Investigation",Female,us,"California, Clothing Donation Bin, Police",Sadness,"Lodi Police Department",203
"Maryland town works to secure storm drains after child drowned in flash flooding","Aug 06, 2025 11:25 PM",25-34,"News, People & Society, Health & Fitness, Law & Government, Hobbies & Leisure","Tragedy, Community Safety, Flooding, Accountability",Female,us,"Mount Airy, Storm Drain, Flooding",Sadness,"Mason Kearns, Allison Eggleston, Larry Hushour, Stephen Domotor, Maggie McBain",206
"Prophetic Comment Epstein Told Me at His Weird Lair: Author","Aug 07, 2025 06:12 AM",25-34,"Arts & Entertainment, News, People & Society, Health & Fitness, Business & Industrial","Celebrity, Scandal",Male,us,"Jeffrey Epstein, Prophetic Comment, Lair",Anticipation,"Jeffrey Epstein",208
"Philadelphia teachers prepare for possible strike if deal isn't reached by Aug. 31","Aug 07, 2025 01:56 AM",25-34,"Business & Industrial, Education, News, People & Society, Law & Government","Education, Strike, Teachers, Union",Female,us,"Philadelphia Federation of Teachers, School District of Philadelphia, Education",Anticipation,"Arthur Steinberg, Cherelle Parker, Aziza Shuler",211
"Minors account for half of DC&#8217;s carjacking arrests since 2023 &#8212; including pint-sized perps as young as 12","Aug 07, 2025 02:57 AM",18-24,"News, Law & Government, People & Society, Business & Industrial, Health & Fitness","Crime, Youth Offenders, Law Enforcement, Carjacking",Male,us,"Washington DC, Carjacking, Juvenile Crime",Anger,"Donald Trump, Brian Schwalb, Zack Smith, Muriel Bowser",217
"Man caught on video repeatedly exposing himself outside Liberty City home, landlord says","Aug 07, 2025 05:41 AM",25-34,"News, People & Society, Health & Fitness, Law & Government, Crime","Crime, Investigation, Public Safety",Female,us,"Liberty City, Miami Police Department, Surveillance Cameras",Fear,"Rose, Nikiya Carrero",218
"Windy Gap Fire forces closure of highways in central and northern Grand County","Aug 07, 2025 01:16 AM",25-34,"News, Health & Fitness, Business & Industrial, Sports, People & Society","Wildfire, Colorado, Emergency, Highway Closure",Male,us,"Windy Gap Fire, Granby, Colorado",Fear,"Jesse Sarles",222
"Portland murder suspect hit with fourth homicide charge as victims&#8217; families demand justice","Aug 07, 2025 10:58 AM",25-34,"Arts & Entertainment, News, People & Society, Law & Government, Crime","Homicide, Justice, Crime, Portland",Male,us,"Jesse Lee Calhoun, Kristin Smith, Charity Perry, Bridget Webster, Joanna Speaks",Anticipation,"Nathan Vasquez, Melissa Smith, Cameron Taylor, Diana Allen",228
"Carnegie Science Center launching new name in September","Aug 06, 2025 10:01 PM",25-34,"Arts & Entertainment, Business & Industrial, Education, News, Science","Science Center, Donation, Community, Education",Female,us,"Carnegie Science Center, Kamin Science Center, Heinz History Center",Happiness,"Jason Brown, Dan Kamin, Carole Kamin, Madeline Bartos",230
"The truth about Bill Clinton&#8217;s cozy friendship with Jeffrey Epstein and his &#8216;lovely girls&#8217; as House subpoenas testimony","Aug 07, 2025 02:57 AM",35-44,"Arts & Entertainment, Business & Industrial, News, People & Society, Politics","Bill Clinton, Jeffrey Epstein, Subpoena, Scandal",Male,us,"Bill Clinton, Jeffrey Epstein, House Oversight Committee",Anticipation,"Bill Clinton, Jeffrey Epstein, Hillary Clinton, Nelson Mandela",231
"Potential connection between air quality in the Mon Valley and student absenteeism","Aug 07, 2025 02:01 AM",25-34,"Health & Fitness, News, People & Society, Business & Industrial, Science","Air Quality, Education, Health, Pollution",Male,us,"Clairton, U.S. Steel, Allegheny County Health Department",Concern,"Dr. Deborah Gentile, Dr. George Thurston, Andy Sheehan",231
"Cook County Sheriff substation still not open in South Loop","Aug 07, 2025 12:56 AM",25-34,"Law & Government, News, People & Society, Health & Fitness, Business & Industrial","Crime, Public Safety, Law Enforcement, Community",Female,us,"Cook County Sheriff's Office, South Loop, Chicago Police Department",Anticipation,"Bill Conway, Tara Molina",244
"Wanted man captured after hours long search throughout parts of Westmoreland County","Aug 07, 2025 06:02 AM",25-34,"News, Law & Government, People & Society, Crime, Sports","Crime, Law Enforcement, Arrest, Westmoreland County",Male,us,"Westmoreland County Sheriff's Office, Herminie, Tastyland",Anticipation,"Donald Sciulli, Mike Darnay",247
"Man accused of stealing car during test drive caught after 9 months on run, Miami police say","Aug 07, 2025 01:41 AM",25-34,"News, Law & Government, People & Society, Business & Industrial, Autos & Vehicles","Crime, Arrest, Investigation, Car Theft",Male,us,"Miami Police, Prado Auto Sales, CBS News Miami",Anticipation,"Alexander Roque, Alex Prado, Marybel Rodriguez",247
"Prosecutors seek prison for Home Depot theft crew that hit nearly 200 NorCal stores","Aug 07, 2025 12:41 AM",25-34,"News, Law & Government, Business & Industrial, People & Society, Crime","Crime, Theft, Sentencing, Retail",Male,us,"Home Depot, Santa Clara County, Bay Area, AB 1779",Anger,"Adolfo Duarte Herrera, Wilmer Ayala, Daniel Resendiz, Jose Martinez, Jeff Rosen",247
"""Stick library"" a hit with dogs at Fresh Pond in Cambridge","Aug 07, 2025 12:53 AM",25-34,"Pets & Animals, Hobbies & Leisure, People & Society, Arts & Entertainment, Travel","Community, Dogs, Outdoor Activities, Local Interest",Female,us,"Dog Library, Fresh Pond, Cambridge",Happiness,"Logan Hall",264
"Wildwood tramcar's biggest fan had his dream come true with boardwalk legend Gigi","Aug 07, 2025 05:57 AM",0-17,"Arts & Entertainment, People & Society, Health & Fitness, Hobbies & Leisure, Travel","Human Interest, Autism Awareness",Male,us,"Wildwood, Tramcar, Autism, Gigi",Happiness,"Oliver Carroll, April Miller, Anthony Carroll, John Gigliotti",296
"Families of teens killed in West Sacramento hit-and-run fill courtroom for suspect's first hearing","Aug 07, 2025 02:05 AM",35-44,"News, People & Society, Law & Government, Health & Fitness, Sports","Crime, Justice, Court Hearing",Female,us,"West Sacramento, Court, Hit-and-Run",Sadness,"Jerry Chatman, Stephanie Vallejos, David Walker, Jerel Todd",297
"Nearly 20 cars destroyed in massive Santa Ana carport fire","Aug 07, 2025 05:39 AM",25-34,"Autos & Vehicles, News, People & Society, Business & Industrial, Home & Garden","Fire, Investigation, Santa Ana, Carport",Male,us,"Santa Ana, Firefighters, Orange County Fire Authority",Fear,Michele,306
"Pa. Attorney General's Office charges 13 people in luxury vehicle scheme","Aug 07, 2025 02:03 PM",25-34,"Business & Industrial, Law & Government, News, People & Society, Autos & Vehicles","Crime, Law Enforcement, Investigation, Vehicle Theft",Male,us,"Pennsylvania Attorney General's Office, luxury vehicle scheme, stolen vehicles",Trust,"Anthony Troncoso, Dave Sunday, Patrick Damp",314
"State Senator discusses TEA takeover of Fort Worth ISD","Aug 06, 2025 11:30 PM",25-34,"News, Law & Government, Education, People & Society, Business & Industrial","Education, Texas, School Board, Academic Performance",Male,us,"Fort Worth ISD, Texas Education Agency, Leadership Academy at Forest Oak",Anticipation,"Phil King, Mike Morath",318
"Investigators share details in 2019 disappearance of L.A. County man connected to religious group","Aug 07, 2025 05:39 AM",25-34,"News, People & Society, Law & Government, Health & Fitness, Arts & Entertainment","Missing Persons, Investigation, Religious Group, Homicide",Male,us,"Claremont Police Department, His Way Spirit Led Assemblies, Redlands Police Department",Anticipation,"Ruben Moreno, Emilio Salem Ghanem, Dean Fioresi",357
"Ex-Georgia Lieutenant Governor Officially Ditches GOP for Democrats","Aug 06, 2025 10:11 PM",35-44,"News, Politics, People & Society, Business & Industrial, Law & Government","Politics, Election, Party Switch, Georgia",Male,us,"Georgia, GOP, Democrats, Lieutenant Governor",Surprise,"Geoff Duncan",366
"Ex-top doc at SUNY hospital sentenced for stealing nearly $1.5M to fund lavish lifestyle","Aug 06, 2025 10:57 PM",35-44,"Health & Fitness, Business & Industrial, News, Law & Government, People & Society","Crime, Law, Healthcare, Scandal",Male,us,"SUNY Downstate Medical Center, Brooklyn Supreme Court, grand larceny",Anger,"Dr. Michael Lucchesi, Eric Gonzalez, Earl Ward",379
"Imposter nurse arrested after seeing 4,000 patients without a license: &#8216;Most disturbing case of medical fraud&#8217;","Aug 07, 2025 06:58 AM",25-34,"Health & Fitness, News, Law & Government, People & Society, Business & Industrial","Medical Fraud, Crime, Arrest, Healthcare",Female,us,"Florida hospital, medical license, healthcare profession",Fear,"Autumn Bardisa, Rick Staly",441
"Oversight committee accuses Turlock superintendent of greenlighting noncompliant classroom project","Aug 07, 2025 06:06 AM",25-34,"Business & Industrial, Education, News, Law & Government, People & Society","Education, School Funding, Oversight, Compliance",Male,us,"Turlock Unified School District, Osborn Elementary School, California Department of Education",Anger,"Lacy Elliott, Barney Gordon",454
"NYC middle school spent $20K in a week at one restaurant — with $600 in eggs, $200 worth of coffee and tea: docs","Aug 06, 2025 10:57 PM",25-34,"Business & Industrial, Food & Drink, News, People & Society, Law & Government","School Spending, Education, Government Oversight, Food Services",Male,us,"Brownsville Collaborative Middle School, Fusion East, Department of Education",Anger,"Gregory Jackson, Andrew Walcott, Paul Prestia",454
"UDSD hopes to use vacant hospital to help ease overcrowding at HS","Aug 06, 2025 09:56 PM",25-34,"Business & Industrial, Health & Fitness, News, People & Society, Education","Education, Community Development, School District, Hospital",Female,us,"Upper Darby School District, Delaware County Memorial Hospital, Prospect Medical Holdings",Anticipation,"Daniel McGarry, Eric Aubrey, Madeleine Wright",456
"Free South Baltimore Learning Center temporarily closes after federal funding pause","Aug 06, 2025 11:25 PM",25-34,"Education, Business & Industrial, People & Society, News, Health & Fitness","Education, Nonprofit, Community Support, Workforce Development",Female,us,"South Baltimore Learning Center, federal funding, adult education",Empathy,"Melissa Davis, Cha'kel Walker, Kaicey Baylor",463
"Aurora's Gateway High students build futures through ConstrucTECH Program","Aug 06, 2025 09:15 PM",18-24,"Education, Business & Industrial, People & Society, Health & Fitness, Hobbies & Leisure","Education, Career Development, Construction, Technical Training",Female,us,"ConstrucTECH Program, Gateway High School, Aurora Public Schools",Happiness,"Andrew Woods, Audrey Valladolid, Kelly Werthmann",463
"Doctor exposes shocking disparity in medicine costs between the US and Australia","Aug 07, 2025 02:59 PM",25-34,"Health & Fitness, Business & Industrial, News, Politics, People & Society","Healthcare, Pharmaceuticals, US-Australia Relations, Drug Pricing",Male,us,"Pharmaceutical Benefits Scheme, Healthcare System, Drug Tariffs",Surprise,"Michael, Donald Trump, Matt Grudnoff, Anthony Albanese",869
